scenario,year,population_total,rural_share
actual,1990,148273746,
actual,1991,148514692,0.2621412154785649
actual,1992,148561694,0.2636573221994764
actual,1993,148355867,0.2685301030560408
actual,1994,148459937,0.2699662090209078
actual,1995,148291638,0.27036417238948446
actual,1996,148028613,0.26961045504130177
actual,1997,147802133,0.26914284470124705
actual,1998,147539426,0.2685436007882241
actual,1999,146890128,0.2676313041911929
actual,2000,146303611,0.2687085819681497
actual,2001,145649334,0.26815389402794715
actual,2002,144963650,0.26724448324631545
actual,2003,144333586,0.26656607363294177
actual,2004,143801046,0.26531652168608905
actual,2005,143236582,0.2685579422002257
actual,2006,142862692,0.26821347915157595
actual,2007,142747535,0.2669064782847575
actual,2008,142737196,0.26538075070788436
actual,2009,142833502,0.26497430284394824
actual,2010,142865433,0.26444855353333
actual,2011,143170950,0.2620940854181291
actual,2012,143585935,0.26059959090863055
actual,2013,144025334,0.2592860714386823
actual,2014,146743989,0.2574240306917115
actual,2015,147182316,0.25843158727271615
actual,2016,147580009,0.25728180551255897
actual,2017,147797071,0.2561576412425886
actual,2018,147840696,0.255084344668779
actual,2019,147959284,0.2539578209236786
actual,2020,147455745,0.25289008562652954
actual,2021,146980061,0.252516373641461
actual,2022,146447424,0.25171893893825503
actual,2023,146150789,0.2512291441876096
urbanization,2024,146150792.014,0.2505894716723014
urbanization,2025,145527431.53,0.24904916
urbanization,2026,144877527.16,0.24710920000000003
urbanization,2027,144229219.882,0.24775019
urbanization,2028,143552489.997,0.24690014999999998
urbanization,2029,142864596.896,0.24648503000000002
urbanization,2030,142153411.777,0.24559609
urbanization,2031,141417608.463,0.24463096
urbanization,2032,140675998.854,0.24364355
urbanization,2033,139928196.468,0.2435256
urbanization,2034,139185514.089,0.24258161
urbanization,2035,138465048.174,0.24153151
urbanization,2036,137738686.099,0.24157171000000002
urbanization,2037,137002049.112,0.23969171
urbanization,2038,136280360.366,0.23782806999999997
urbanization,2039,135547248.127,0.23825516
urbanization,2040,134815363.885,0.23753965999999999
urbanization,2041,134071924.727,0.23755663
urbanization,2042,133313590.634,0.23677219000000002
urbanization,2043,132550519.054,0.2358576
urbanization,2044,131782532.114,0.23490397000000002
urbanization,2045,130994479.504,0.23472863
urbanization,2046,130195186.298,0.23384567
urbanization,2047,129398225.416,0.23278237000000002
urbanization,2048,128577702.377,0.23287036
urbanization,2049,127748500.027,0.23105814
urbanization,2050,126901379.689,0.22926505
fixation,2024,146150792.0,0.2505894716723014
fixation,2025,145527700.0,0.2505894716723014
fixation,2026,144878184.0,0.2505894716723014
fixation,2027,144230804.0,0.2505894716723014
fixation,2028,143555408.0,0.2505894716723014
fixation,2029,142869924.0,0.2505894716723014
fixation,2030,142162428.0,0.2505894716723014
fixation,2031,141431732.0,0.2505894716723014
fixation,2032,140694384.0,0.2505894716723014
fixation,2033,139953960.0,0.2505894716723014
fixation,2034,139220364.0,0.2505894716723014
fixation,2035,138505300.0,0.2505894716723014
fixation,2036,137793760.0,0.2505894716723014
fixation,2037,137073672.0,0.2505894716723014
fixation,2038,136355708.0,0.2505894716723014
fixation,2039,135632524.0,0.2505894716723014
fixation,2040,134905024.0,0.2505894716723014
fixation,2041,134170688.0,0.2505894716723014
fixation,2042,133421904.0,0.2505894716723014
fixation,2043,132668132.0,0.2505894716723014
fixation,2044,131903196.0,0.2505894716723014
fixation,2045,131123528.0,0.2505894716723014
fixation,2046,130334388.0,0.2505894716723014
fixation,2047,129539160.0,0.2505894716723014
fixation,2048,128736588.0,0.2505894716723014
fixation,2049,127927024.0,0.2505894716723014
fixation,2050,127083922.0,0.2505894716723014
deurbanization,2024,146150792.014,0.2509889999999999
deurbanization,2025,145527730.82,0.2509889999999999
deurbanization,2026,144878128.138,0.2503479999999999
deurbanization,2027,144231065.289,0.2511979999999999
deurbanization,2028,143556135.665,0.251613
deurbanization,2029,142871964.348,0.2525019999999999
deurbanization,2030,142166782.181,0.2534669999999999
deurbanization,2031,141439589.965,0.25445399999999996
deurbanization,2032,140704749.331,0.2545719999999999
deurbanization,2033,139969810.02,0.25551599999999997
deurbanization,2034,139243358.299,0.25656599999999996
deurbanization,2035,138531798.383,0.2565259999999999
deurbanization,2036,137833262.305,0.2584059999999999
deurbanization,2037,137128003.602,0.2602699999999999
deurbanization,2038,136412235.797,0.25984299999999994
deurbanization,2039,135697664.784,0.26055799999999996
deurbanization,2040,134973486.059,0.2605409999999999
deurbanization,2041,134247430.64,0.26132599999999995
deurbanization,2042,133507562.358,0.2622399999999999
deurbanization,2043,132762643.208,0.26319399999999993
deurbanization,2044,132000418.303,0.26336899999999996
deurbanization,2045,131228828.383,0.26425199999999993
deurbanization,2046,130449508.239,0.2653159999999999
deurbanization,2047,129655592.186,0.2652279999999999
deurbanization,2048,128870411.566,0.26703999999999994
deurbanization,2049,128079755.324,0.2688329999999999
deurbanization,2050,127239718.301,0.2685359999999999
